query,page,impressions,clicks,ctr,position
,https://chenguangwu.github.io/tools/it/js-obfuscator.html,3,0,0.0000%,1.0
,https://chenguangwu.github.io/index.html,6,0,0.0000%,7.0
,https://chenguangwu.github.io/tools/finance/compound-interest.html,4,0,0.0000%,1.0
,https://chenguangwu.github.io/tools/it/password-generator.html,7,0,0.0000%,2.11
,https://chenguangwu.github.io/,23,0,0.0000%,2.07
,https://chenguangwu.github.io/tools/clinical-lab/mic-breakpoint.html,3,0,0.0000%,1.67
