page,impressions,clicks,ctr,avg_position,queries,worst_ctr,worst_query,worst_query_impressions
https://chenguangwu.github.io/,23,0,0.0000%,2.07,1,0.0000%,,23
https://chenguangwu.github.io/tools/it/password-generator.html,7,0,0.0000%,2.11,1,0.0000%,,7
https://chenguangwu.github.io/index.html,6,0,0.0000%,7.0,1,0.0000%,,6
https://chenguangwu.github.io/tools/finance/compound-interest.html,4,0,0.0000%,1.0,1,0.0000%,,4
https://chenguangwu.github.io/tools/it/js-obfuscator.html,3,0,0.0000%,1.0,1,0.0000%,,3
https://chenguangwu.github.io/tools/clinical-lab/mic-breakpoint.html,3,0,0.0000%,1.67,1,0.0000%,,3
