source,scope,records,impressions_or_pv,clicks,ctr,uv,ip,bounce_rate,avg_duration,note
clarity,url,741,607,0,0.000000,,,,,按当前项目页面过滤后的 URL 级数据
bing,url,210,611,80,0.130933,,,,,按当前项目页面过滤后的 URL 级数据
